word,history,part_of_speech
aarao,,
ababa,,
abaca,,substantivo masculino
abaci,,
abaco,,substantivo masculino
abada,,substantivo masculino
abade,,substantivo masculino
abafe,,
abafo,,substantivo masculino
abaja,,
abaju,,substantivo masculino
abala,,substantivo masculino
abale,,
abalo,,substantivo masculino
abane,,
abano,,substantivo masculino
abara,,substantivo masculino
abare,,
abate,,substantivo masculino
abati,,substantivo masculino
abaxo,,
abaza,,
abcaz,,
abece,,substantivo masculino
abeco,,
abeto,,substantivo masculino
abezo,,
abibe,,substantivo masculino
abner,,
abobe,,
abobo,,
aboco,,substantivo masculino
abofe,,adverbio
aboie,,
aboio,,substantivo masculino
abola,,substantivo feminino
abono,,substantivo masculino
abota,,
abrao,,
abreu,,substantivo masculino
abria,,
abril,,substantivo masculino
abrir,,verbo transitivo direto
abris,,
abriu,,substantivo deverbal
abuja,,
abuso,,substantivo masculino
acaba,,
acabe,,
acabo,,substantivo masculino
acair,,
acaju,,substantivo masculino
acara,,substantivo masculino
acari,,substantivo masculino
acaro,,substantivo masculino
acaso,,substantivo masculino
acata,,substantivo masculino
acaua,,
accao,,substantivo feminino
aceno,,substantivo masculino
acesa,,adjetivo
aceso,,adjetivo
aceta,,
acete,,
aceto,,substantivo masculino
achai,,
acham,,
achar,,verbo transitivo direto
achas,,
achei,,
achem,,substantivo masculino e feminino
aches,,
achou,,
acido,,adjetivo
acima,,adverbio
acino,,substantivo masculino
acoai,,
acoam,,
acoar,,verbo intransitivo
acoas,,
acode,,
acoei,,
acoem,,
acoes,,substantivo feminino plural
acola,,adverbio
acoou,,
acoro,,substantivo masculino
actel,,
actol,,substantivo masculino
actor,,
acuai,,
acuam,,
acuar,,verbo transitivo
acuas,,
acude,,substantivo masculino
acudi,,
acuei,,
acuem,,
acues,,
acule,,
aculo,,substantivo masculino
acuou,,
acusa,,
acuse,,
acuso,,
acuta,,substantivo feminino
adaba,,
adaes,,
adaga,,substantivo feminino
adama,,
adame,,
adamo,,substantivo masculino
