word,last_mentioned_on,part_of_speech
caira,,
cairo,,substantivo masculino
cairu,,
caiua,,
caixa,,substantivo feminino
caixa,,expressão
caixa,,substantivo masculino e feminino
caixa,,substantivo masculino
calai,,
calai,,
calam,,
calam,,
calao,,substantivo masculino
calao,,adjetivo
calao,,substantivo masculino
calao,,substantivo masculino
calao,,substantivo masculino
calar,,verbo intransitivo
calar,,verbo transitivo
calas,,
calas,,
calca,,substantivo feminino
calce,,substantivo masculino
calco,,substantivo masculino
calda,,substantivo feminino
calda,,substantivo feminino plural
caldo,,substantivo masculino
calei,,
calei,,
calem,,
calem,,
cales,,
cales,,
calfe,,
calha,,substantivo feminino
calhe,,substantivo feminino
calix,,substantivo masculino
calix,,substantivo masculino
caliz,,substantivo masculino
calma,,substantivo feminino
calmo,,adjetivo
calom,,substantivo masculino
calor,,substantivo masculino
calos,,
calos,,
calou,,
calou,,
calva,,substantivo feminino
calve,,
calve,,
calvo,,"adjetivo, substantivo masculino"
camal,,substantivo masculino
camas,,
camas,,
camba,,substantivo feminino
cambe,,
cambo,,substantivo masculino
cambo,,adjetivo
camim,,
campa,,substantivo feminino
campa,,substantivo feminino
campo,,substantivo masculino
canaa,,
canal,,substantivo masculino
canal,,substantivo masculino plural
canas,,
canas,,
canca,,substantivo masculino
canda,,feminino
cando,,substantivo masculino
canga,,substantivo feminino
cango,,substantivo masculino
canha,,
canil,,substantivo masculino
canil,,substantivo masculino
canil,,substantivo masculino
